journal_line_id,posting_date,transaction_id,debit,credit,doc_ref,memo,account_code,currency,posting_status,document_id,gl_account,entry_type,amount,control_note
GL-0021-C,2026-08-11,TXN021,0.0,1115.0,INV-1021,balanced,1100,INR,POSTED,INV-1021,1100,CREDIT,1115.0,balanced
GL-0022-D,2026-08-11,TXN022,2500.0,0.0,INV-1022,missing_bank_credit,5001,INR,POSTED,INV-1022,5001,DEBIT,2500.0,missing_bank_credit
GL-0022-C,2026-08-11,TXN022,0.0,0.0,INV-1022,missing_bank_credit,1100,INR,POSTED,INV-1022,1100,CREDIT,0.0,missing_bank_credit
GL-0023-D,2026-08-12,TXN023,2750.0,0.0,INV-1023,missing_approval_reference,5001,INR,POSTED,INV-1023,5001,DEBIT,2750.0,missing_approval_reference
GL-0023-C,2026-08-12,TXN023,0.0,2750.0,INV-1023,missing_approval_reference,1100,INR,POSTED,INV-1023,1100,CREDIT,2750.0,missing_approval_reference
GL-0024-D,2026-08-12,TXN024,900.0,0.0,INV-1024,balanced,5001,INR,POSTED,INV-1024,5001,DEBIT,900.0,balanced
GL-0024-C,2026-08-12,TXN024,0.0,900.0,INV-1024,balanced,1100,INR,POSTED,INV-1024,1100,CREDIT,900.0,balanced
GL-0025-D,2026-08-13,TXN025,850.0,0.0,INV-1025,balanced,5001,INR,POSTED,INV-1025,5001,DEBIT,850.0,balanced
GL-0025-C,2026-08-13,TXN025,0.0,850.0,INV-1025,balanced,1100,INR,POSTED,INV-1025,1100,CREDIT,850.0,balanced
GL-0026-D,2026-08-13,TXN026,0.0,0.0,INV-1026,refund_credit,1100,INR,POSTED,INV-1026,1100,DEBIT,0.0,refund_credit
GL-0026-C,2026-08-13,TXN026,0.0,1200.0,INV-1026,refund_credit,6001,INR,POSTED,INV-1026,6001,CREDIT,1200.0,refund_credit
GL-0027-D,2026-08-14,TXN027,500.0,0.0,INV-1027,balanced,5001,INR,POSTED,INV-1027,5001,DEBIT,500.0,balanced
GL-0027-C,2026-08-14,TXN027,0.0,500.0,INV-1027,balanced,1100,INR,POSTED,INV-1027,1100,CREDIT,500.0,balanced
GL-0028-D,2026-08-14,TXN028,1250.0,0.0,INV-1028,balanced,5001,INR,POSTED,INV-1028,5001,DEBIT,1250.0,balanced
GL-0028-C,2026-08-14,TXN028,0.0,1250.0,INV-1028,balanced,1100,INR,POSTED,INV-1028,1100,CREDIT,1250.0,balanced
GL-0029-D,2026-08-15,TXN029,1250.0,0.0,INV-1029,balanced,5001,INR,POSTED,INV-1029,5001,DEBIT,1250.0,balanced
GL-0029-C,2026-08-15,TXN029,0.0,1250.0,INV-1029,balanced,1100,INR,POSTED,INV-1029,1100,CREDIT,1250.0,balanced
GL-0030-D,2026-08-15,TXN030,5000.0,0.0,INV-1030,out_of_balance,5001,INR,POSTED,INV-1030,5001,DEBIT,5000.0,out_of_balance
GL-0030-C,2026-08-15,TXN030,0.0,4500.0,INV-1030,out_of_balance,1100,INR,POSTED,INV-1030,1100,CREDIT,4500.0,out_of_balance
GL-0031-D,2026-08-16,TXN031,250.0,0.0,INV-1031,balanced,5001,INR,POSTED,INV-1031,5001,DEBIT,250.0,balanced
GL-0031-C,2026-08-16,TXN031,0.0,250.0,INV-1031,balanced,1100,INR,POSTED,INV-1031,1100,CREDIT,250.0,balanced
GL-0032-D,2026-08-16,TXN032,250.0,0.0,INV-1032,balanced,5001,INR,POSTED,INV-1032,5001,DEBIT,250.0,balanced
GL-0032-C,2026-08-16,TXN032,0.0,250.0,INV-1032,balanced,1100,INR,POSTED,INV-1032,1100,CREDIT,250.0,balanced
GL-0033-D,2026-08-17,TXN033,780.0,0.0,INV-1033,future_dated,5001,INR,POSTED,INV-1033,5001,DEBIT,780.0,future_dated
GL-0033-C,2026-08-17,TXN033,0.0,780.0,INV-1033,future_dated,1100,INR,POSTED,INV-1033,1100,CREDIT,780.0,future_dated
GL-0034-D,2026-08-18,TXN034,1350.0,0.0,INV-1034,balanced,5001,INR,POSTED,INV-1034,5001,DEBIT,1350.0,balanced
GL-0034-C,2026-08-18,TXN034,0.0,1350.0,INV-1034,balanced,1100,INR,POSTED,INV-1034,1100,CREDIT,1350.0,balanced
GL-0035-D,2026-08-18,TXN035,1350.0,0.0,INV-1035,balanced,5001,INR,POSTED,INV-1035,5001,DEBIT,1350.0,balanced
GL-0035-C,2026-08-18,TXN035,0.0,1350.0,INV-1035,balanced,1100,INR,POSTED,INV-1035,1100,CREDIT,1350.0,balanced
GL-0036-D,2026-08-19,TXN036,400.0,0.0,INV-1036,balanced,5001,INR,POSTED,INV-1036,5001,DEBIT,400.0,balanced
GL-0036-C,2026-08-19,TXN036,0.0,400.0,INV-1036,balanced,1100,INR,POSTED,INV-1036,1100,CREDIT,400.0,balanced
GL-0037-D,2026-08-19,TXN037,400.0,0.0,INV-1037,balanced,5001,INR,POSTED,INV-1037,5001,DEBIT,400.0,balanced
GL-0037-C,2026-08-19,TXN037,0.0,400.0,INV-1037,balanced,1100,INR,POSTED,INV-1037,1100,CREDIT,400.0,balanced
GL-0038-D,2026-08-20,TXN038,3200.0,0.0,INV-1038,balanced,5001,INR,POSTED,INV-1038,5001,DEBIT,3200.0,balanced
GL-0038-C,2026-08-20,TXN038,0.0,3200.0,INV-1038,balanced,1100,INR,POSTED,INV-1038,1100,CREDIT,3200.0,balanced
GL-0039-D,2026-08-20,TXN039,3200.0,0.0,INV-1039,balanced,5001,INR,POSTED,INV-1039,5001,DEBIT,3200.0,balanced
GL-0039-C,2026-08-20,TXN039,0.0,3200.0,INV-1039,balanced,1100,INR,POSTED,INV-1039,1100,CREDIT,3200.0,balanced
GL-0040-D,2026-08-21,TXN040,75.5,0.0,INV-1040,balanced,5001,INR,POSTED,INV-1040,5001,DEBIT,75.5,balanced
GL-0040-C,2026-08-21,TXN040,0.0,75.5,INV-1040,balanced,1100,INR,POSTED,INV-1040,1100,CREDIT,75.5,balanced
GL-0041-D,2026-08-21,TXN041,75.5,0.0,INV-1041,balanced,5001,INR,POSTED,INV-1041,5001,DEBIT,75.5,balanced
GL-0041-C,2026-08-21,TXN041,0.0,75.5,INV-1041,balanced,1100,INR,POSTED,INV-1041,1100,CREDIT,75.5,balanced
GL-0042-D,2026-08-22,TXN042,10000.0,0.0,INV-1042,balanced,5001,INR,POSTED,INV-1042,5001,DEBIT,10000.0,balanced
GL-0042-C,2026-08-22,TXN042,0.0,10000.0,INV-1042,balanced,1100,INR,POSTED,INV-1042,1100,CREDIT,10000.0,balanced
GL-0043-D,2026-08-22,TXN043,10000.0,0.0,INV-1043,balanced,5001,INR,POSTED,INV-1043,5001,DEBIT,10000.0,balanced
GL-0043-C,2026-08-22,TXN043,0.0,10000.0,INV-1043,balanced,1100,INR,POSTED,INV-1043,1100,CREDIT,10000.0,balanced
GL-0044-D,2026-08-23,TXN044,1999.99,0.0,INV-1044,balanced,5001,INR,POSTED,INV-1044,5001,DEBIT,1999.99,balanced
GL-0044-C,2026-08-23,TXN044,0.0,1999.99,INV-1044,balanced,1100,INR,POSTED,INV-1044,1100,CREDIT,1999.99,balanced
GL-0045-D,2026-08-23,TXN045,1999.99,0.0,INV-1045,balanced,5001,INR,POSTED,INV-1045,5001,DEBIT,1999.99,balanced
GL-0045-C,2026-08-23,TXN045,0.0,1999.99,INV-1045,balanced,1100,INR,POSTED,INV-1045,1100,CREDIT,1999.99,balanced
GL-0046-D,2026-08-24,TXN046,250.0,0.0,INV-1046,balanced,5001,INR,POSTED,INV-1046,5001,DEBIT,250.0,balanced
GL-0046-C,2026-08-24,TXN046,0.0,250.0,INV-1046,balanced,1100,INR,POSTED,INV-1046,1100,CREDIT,250.0,balanced
GL-0047-D,2026-08-25,TXN047,2500.0,0.0,INV-1047,balanced,5001,INR,POSTED,INV-1047,5001,DEBIT,2500.0,balanced
GL-0047-C,2026-08-25,TXN047,0.0,2500.0,INV-1047,balanced,1100,INR,POSTED,INV-1047,1100,CREDIT,2500.0,balanced
GL-0048-D,2026-08-26,TXN048,2500.0,0.0,INV-1048,balanced,5001,INR,POSTED,INV-1048,5001,DEBIT,2500.0,balanced
GL-0048-C,2026-08-26,TXN048,0.0,2500.0,INV-1048,balanced,1100,INR,POSTED,INV-1048,1100,CREDIT,2500.0,balanced
GL-0049-D,2026-08-27,TXN049,1100.0,0.0,INV-1049,balanced,5001,INR,POSTED,INV-1049,5001,DEBIT,1100.0,balanced
GL-0049-C,2026-08-27,TXN049,0.0,1100.0,INV-1049,balanced,1100,INR,POSTED,INV-1049,1100,CREDIT,1100.0,balanced
GL-0050-D,2026-08-28,TXN050,1100.0,0.0,INV-1050,balanced,5001,INR,POSTED,INV-1050,5001,DEBIT,1100.0,balanced
GL-0050-C,2026-08-28,TXN050,0.0,1100.0,INV-1050,balanced,1100,INR,POSTED,INV-1050,1100,CREDIT,1100.0,balanced
